Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"San Jose, CA - Alexander",October 2013,$232K,-6.8%,81.3%,7,0%,16.7%,15,25%,200%,6,-40%,500%,44,-3,27,100.1%,-5.2%,0.3%
"San Jose, CA - Alexander",November 2013,$230K,-1%,60.1%,8,14.3%,-20%,15,0%,114.3%,6,0%,,19,-26,7,97.3%,-2.8%,-6.8%
"San Jose, CA - Alexander",December 2013,$232K,1%,43%,11,37.5%,37.5%,11,-26.7%,175%,5,-16.7%,,18,-1,8,99.5%,2.2%,-7.1%
"San Jose, CA - Alexander",January 2014,$230K,-0.9%,35.7%,9,-18.2%,28.6%,5,-54.5%,25%,3,-40%,200%,14,-4,3,100.7%,1.2%,-6.9%
"San Jose, CA - Alexander",February 2014,$243K,5.4%,-17.8%,6,-33.3%,500%,4,-20%,0%,4,33.3%,100%,24,10,13,101.3%,0.6%,-5.7%
"San Jose, CA - Alexander",March 2014,$220K,-9.3%,-1.5%,5,-16.7%,150%,3,-25%,-40%,2,-50%,,39,16,29,100.9%,-0.5%,-9.4%
"San Jose, CA - Alexander",April 2014,$229K,4.1%,1.3%,6,20%,100%,3,0%,-72.7%,1,-50%,-80%,48,9,35,101.5%,0.6%,-4.9%
"San Jose, CA - Alexander",May 2014,$229K,0%,-2.8%,6,0%,-25%,3,0%,-70%,2,100%,-50%,75,27,66,101.1%,-0.3%,-5.9%
"San Jose, CA - Alexander",June 2014,$270K,17.7%,7.4%,4,-33.3%,-55.6%,4,33.3%,-75%,2,0%,-71.4%,48,-27,33,102.7%,1.6%,-1.2%
"San Jose, CA - Alexander",July 2014,$280K,3.9%,11.6%,3,-25%,-72.7%,6,50%,-50%,3,50%,-25%,16,-32,1,100.1%,-2.5%,-5.4%
"San Jose, CA - Alexander",August 2014,$241K,-14.1%,-6.4%,4,33.3%,-55.6%,8,33.3%,-38.5%,5,66.7%,-16.7%,12,-5,-23,101.6%,1.4%,-4.1%
"San Jose, CA - Alexander",September 2014,$241K,0%,-3.4%,6,50%,-14.3%,8,0%,-33.3%,4,-20%,-60%,15,4,-32,101.9%,0.3%,-3.4%
"San Jose, CA - Alexander",October 2014,$247K,2.7%,6.5%,6,0%,-14.3%,11,37.5%,-26.7%,6,50%,0%,13,-3,-32,101.4%,-0.5%,1.4%
"San Jose, CA - Alexander",November 2014,$258K,4.5%,12.3%,5,-16.7%,-37.5%,9,-18.2%,-40%,4,-33.3%,-33.3%,24,12,6,100%,-1.4%,2.7%
"San Jose, CA - Alexander",December 2014,$288K,11.4%,23.9%,6,20%,-45.5%,8,-11.1%,-27.3%,3,-25%,-40%,21,-4,3,101%,1%,1.5%
"San Jose, CA - Alexander",January 2015,$270K,-6.1%,17.4%,5,-16.7%,-44.4%,6,-25%,20%,4,33.3%,33.3%,24,4,10,102.8%,1.9%,2.1%
"San Jose, CA - Alexander",February 2015,$283K,4.6%,16.5%,6,20%,0%,5,-16.7%,25%,1,-75%,-75%,16,-9,-8,104.6%,1.8%,3.3%
"San Jose, CA - Alexander",March 2015,$295K,4.4%,34.1%,3,-50%,-40%,5,0%,66.7%,1,0%,-50%,7,-9,-32,103.7%,-0.9%,2.9%
"San Jose, CA - Alexander",April 2015,$310K,5.1%,35.4%,5,66.7%,-16.7%,4,-20%,33.3%,3,200%,200%,7,0,-41,103.6%,-0.2%,2.1%
"San Jose, CA - Alexander",May 2015,$331K,6.8%,44.5%,4,-20%,-33.3%,10,150%,233.3%,7,133.3%,250%,80,73,6,99.9%,-3.6%,-1.2%
"San Jose, CA - Alexander",June 2015,$352K,6.3%,30.6%,3,-25%,-25%,9,-10%,125%,6,-14.3%,200%,128,48,80,101%,1%,-1.7%
"San Jose, CA - Alexander",July 2015,$270K,-23.3%,-3.6%,5,66.7%,66.7%,11,22.2%,83.3%,4,-33.3%,33.3%,17,-111,1,98.7%,-2.2%,-1.4%
"San Jose, CA - Alexander",August 2015,$313K,15.9%,30.1%,9,80%,125%,7,-36.4%,-12.5%,5,25%,0%,17,0,6,100.7%,2%,-0.8%
"San Jose, CA - Alexander",September 2015,$313K,0%,30.1%,11,22.2%,83.3%,9,28.6%,12.5%,7,40%,75%,17,0,2,100.2%,-0.6%,-1.8%
"San Jose, CA - Alexander",October 2015,$335K,7%,35.6%,8,-27.3%,33.3%,10,11.1%,-9.1%,9,28.6%,50%,23,6,11,102.4%,2.3%,1%
"San Jose, CA - Alexander",November 2015,$296K,-11.7%,14.6%,6,-25%,20%,12,20%,33.3%,7,-22.2%,75%,47,24,23,103%,0.5%,3%
"San Jose, CA - Alexander",December 2015,$345K,16.7%,20%,12,100%,100%,12,0%,50%,3,-57.1%,0%,32,-16,11,104.5%,1.6%,3.5%
"San Jose, CA - Alexander",January 2016,$338K,-2.2%,25%,14,16.7%,180%,9,-25%,50%,3,0%,-25%,32,1,8,102.4%,-2.1%,-0.5%
"San Jose, CA - Alexander",February 2016,$365K,8.1%,29.2%,13,-7.1%,116.7%,6,-33.3%,20%,4,33.3%,300%,29,-3,14,102.2%,-0.2%,-2.4%
"San Jose, CA - Alexander",March 2016,$355K,-2.7%,20.4%,6,-53.8%,100%,7,16.7%,40%,6,50%,500%,28,-1,21,99.9%,-2.4%,-3.9%
"San Jose, CA - Alexander",April 2016,$365K,2.7%,17.7%,3,-50%,-40%,6,-14.3%,50%,5,-16.7%,66.7%,27,-1,20,101.6%,1.7%,-2%
"San Jose, CA - Alexander",May 2016,$346K,-5.3%,4.4%,5,66.7%,25%,8,33.3%,-20%,7,40%,0%,44,17,-36,102.2%,0.7%,2.3%
"San Jose, CA - Alexander",June 2016,$345K,-0.1%,-2%,5,0%,66.7%,10,25%,11.1%,8,14.3%,33.3%,44,0,-84,101.7%,-0.6%,0.7%
"San Jose, CA - Alexander",July 2016,$351K,1.7%,30%,9,80%,80%,14,40%,27.3%,7,-12.5%,75%,43,-1,26,101.8%,0.1%,3%
"San Jose, CA - Alexander",August 2016,$340K,-3.1%,8.6%,10,11.1%,11.1%,12,-14.3%,71.4%,3,-57.1%,-40%,40,-3,23,100.7%,-1.1%,-0.1%
"San Jose, CA - Alexander",September 2016,$351K,3.2%,12.1%,11,10%,0%,8,-33.3%,-11.1%,2,-33.3%,-71.4%,37,-3,20,101%,0.3%,0.8%
"San Jose, CA - Alexander",October 2016,$335K,-4.6%,0%,7,-36.4%,-12.5%,5,-37.5%,-50%,4,100%,-55.6%,37,0,14,100.5%,-0.5%,-2%
"San Jose, CA - Alexander",November 2016,$388K,15.7%,31.1%,4,-42.9%,-33.3%,5,0%,-58.3%,3,-25%,-57.1%,51,14,4,103.7%,3.2%,0.7%
"San Jose, CA - Alexander",December 2016,$365K,-5.9%,5.8%,5,25%,-58.3%,4,-20%,-66.7%,,,,34,-17,3,102.7%,-1%,-1.8%
"San Jose, CA - Alma-Almaden",January 2012,$196K,1%,54.9%,8,14.3%,166.7%,6,-33.3%,-33.3%,5,-44.4%,-58.3%,88,18,-30,97.6%,-0.7%,1.3%
"San Jose, CA - Alma-Almaden",February 2012,$199K,1.5%,-0.5%,8,0%,60%,4,-33.3%,-60%,4,-20%,-69.2%,80,-8,-26,99.8%,2.2%,-0.1%
"San Jose, CA - Alma-Almaden",March 2012,$200K,0.5%,17.6%,10,25%,150%,3,-25%,-72.7%,1,-75%,-94.7%,48,-32,-120,99.3%,-0.6%,-2.2%
"San Jose, CA - Alma-Almaden",April 2012,$200K,0%,17.6%,7,-30%,16.7%,3,0%,-70%,1,0%,-93.8%,44,-4,-124,100.5%,1.2%,-0.1%
"San Jose, CA - Alma-Almaden",May 2012,$185K,-7.5%,-5.1%,7,0%,16.7%,6,100%,-25%,1,0%,-92.9%,14,-30,-110,100.6%,0.1%,-0.3%
"San Jose, CA - Alma-Almaden",June 2012,$125K,-32.4%,-34.2%,5,-28.6%,-44.4%,6,0%,0%,1,0%,-92.3%,12,-2,-63,103.2%,2.6%,5.7%
"San Jose, CA - Alma-Almaden",July 2012,$215K,72%,12%,7,40%,-22.2%,8,33.3%,-11.1%,2,100%,-83.3%,10,-2,-82,113.8%,10.7%,17.2%
"San Jose, CA - Alma-Almaden",August 2012,$235K,9.3%,19.9%,5,-28.6%,-37.5%,9,12.5%,-35.7%,4,100%,-73.3%,12,2,-107,117.3%,3.4%,21.8%
"San Jose, CA - Alma-Almaden",September 2012,$235K,0%,16%,7,40%,16.7%,10,11.1%,-16.7%,1,-75%,-91.7%,11,-1,-230,117%,-0.2%,18.1%
"San Jose, CA - Alma-Almaden",October 2012,$246K,4.7%,23%,9,28.6%,50%,7,-30%,-36.4%,1,0%,-92.3%,11,0,-174,106.7%,-10.3%,6.8%
"San Jose, CA - Alma-Almaden",November 2012,$246K,0%,25.8%,9,0%,12.5%,5,-28.6%,-44.4%,2,100%,-80%,9,-2,-71,108.9%,2.2%,10.1%
"San Jose, CA - Alma-Almaden",December 2012,$218K,-11.4%,12.4%,9,0%,28.6%,5,0%,-44.4%,3,50%,-66.7%,9,0,-61,106.6%,-2.3%,8.3%
"San Jose, CA - Alma-Almaden",January 2013,$180K,-17.3%,-8%,6,-33.3%,-25%,7,40%,16.7%,3,0%,-40%,9,0,-79,107.1%,0.5%,9.5%
"San Jose, CA - Alma-Almaden",February 2013,$243K,34.8%,22.1%,7,16.7%,-12.5%,6,-14.3%,50%,2,-33.3%,-50%,12,3,-68,103.4%,-3.7%,3.6%
"San Jose, CA - Alma-Almaden",March 2013,$264K,8.6%,32%,4,-42.9%,-60%,6,0%,100%,1,-50%,0%,41,29,-7,102.1%,-1.3%,2.8%
"San Jose, CA - Alma-Almaden",April 2013,$274K,3.8%,37%,6,50%,-14.3%,6,0%,100%,1,0%,0%,23,-18,-21,105.5%,3.4%,5%
"San Jose, CA - Alma-Almaden",May 2013,$330K,20.4%,78.4%,6,0%,-14.3%,6,0%,0%,3,200%,200%,8,-15,-6,110.8%,5.2%,10.2%
"San Jose, CA - Alma-Almaden",June 2013,$330K,0%,164%,6,0%,20%,7,16.7%,16.7%,2,-33.3%,100%,8,0,-4,110.8%,0%,7.6%
"San Jose, CA - Alma-Almaden",July 2013,$337K,2%,56.5%,8,33.3%,14.3%,11,57.1%,37.5%,1,-50%,-50%,8,0,-2,108.1%,-2.6%,-5.7%
"San Jose, CA - Alma-Almaden",August 2013,$330K,-1.9%,40.4%,9,12.5%,80%,14,27.3%,55.6%,5,400%,25%,9,1,-3,105.3%,-2.8%,-12%
"San Jose, CA - Alma-Almaden",September 2013,$327K,-0.9%,39.1%,10,11.1%,42.9%,13,-7.1%,30%,4,-20%,300%,9,-1,-3,105.4%,0.1%,-11.6%
"San Jose, CA - Alma-Almaden",October 2013,$322K,-1.5%,30.9%,8,-20%,-11.1%,8,-38.5%,14.3%,4,0%,300%,13,4,2,102.7%,-2.7%,-4.1%
"San Jose, CA - Alma-Almaden",November 2013,$260K,-19.3%,5.7%,6,-25%,-33.3%,3,-62.5%,-40%,2,-50%,0%,23,11,14,98.2%,-4.5%,-10.7%
"San Jose, CA - Alma-Almaden",December 2013,$255K,-1.9%,17%,7,16.7%,-22.2%,1,-66.7%,-80%,2,0%,-33.3%,28,5,19,96%,-2.3%,-10.6%
"San Jose, CA - Alma-Almaden",January 2014,$258K,1%,42.9%,4,-42.9%,-33.3%,5,400%,-28.6%,5,150%,66.7%,35,7,26,93.2%,-2.7%,-13.9%
"San Jose, CA - Alma-Almaden",February 2014,$343K,33%,40.9%,4,0%,-42.9%,5,0%,-16.7%,5,0%,150%,21,-15,9,99.2%,6%,-4.1%
"San Jose, CA - Alma-Almaden",March 2014,$345K,0.7%,30.7%,3,-25%,-25%,5,0%,-16.7%,2,-60%,100%,13,-8,-28,102.9%,3.6%,0.8%
"San Jose, CA - Alma-Almaden",April 2014,$345K,0%,25.9%,5,66.7%,-16.7%,3,-40%,-50%,3,50%,200%,45,32,22,101.4%,-1.5%,-4.2%
"San Jose, CA - Alma-Almaden",May 2014,$260K,-24.6%,-21.2%,5,0%,-16.7%,4,33.3%,-33.3%,3,0%,0%,45,0,37,100.1%,-1.3%,-10.7%
"San Jose, CA - Alma-Almaden",June 2014,$290K,11.5%,-12.1%,6,20%,0%,6,50%,-14.3%,1,-66.7%,-50%,34,-12,26,100.5%,0.4%,-10.3%
"San Jose, CA - Alma-Almaden",July 2014,$345K,19%,2.5%,5,-16.7%,-37.5%,5,-16.7%,-54.5%,2,100%,100%,8,-26,0,100.9%,0.4%,-7.2%
"San Jose, CA - Alma-Almaden",August 2014,$345K,0%,4.5%,6,20%,-33.3%,8,60%,-42.9%,2,0%,-60%,8,0,-1,100.9%,0%,-4.4%
"San Jose, CA - Alma-Almaden",September 2014,$345K,0%,5.5%,7,16.7%,-30%,8,0%,-38.5%,3,50%,-25%,8,0,-1,101.1%,0.2%,-4.3%
"San Jose, CA - Alma-Almaden",October 2014,$348K,0.7%,7.9%,8,14.3%,0%,8,0%,0%,3,0%,-25%,8,0,-5,100.5%,-0.6%,-2.2%
"San Jose, CA - Alma-Almaden",November 2014,$350K,0.7%,34.6%,5,-37.5%,-16.7%,4,-50%,33.3%,2,-33.3%,0%,15,7,-8,100.2%,-0.3%,2%
"San Jose, CA - Alma-Almaden",December 2014,$358K,2.1%,40.2%,6,20%,-14.3%,3,-25%,200%,,,,47,32,19,98.7%,-1.5%,2.7%
"San Jose, CA - Alma-Almaden",January 2015,$358K,0%,38.8%,4,-33.3%,0%,1,-66.7%,-80%,,,,47,0,12,99%,0.3%,5.8%
"San Jose, CA - Alma-Almaden",February 2015,$365K,2.1%,6.6%,5,25%,25%,2,100%,-60%,,,,46,-1,26,101.7%,2.6%,2.4%
"San Jose, CA - Alma-Almaden",March 2015,$411K,12.5%,19%,1,-80%,-66.7%,1,-50%,-80%,,,,14,-32,1,112.2%,10.6%,9.3%
"San Jose, CA - Alma-Almaden",April 2015,$411K,0%,19%,1,0%,-80%,2,100%,-33.3%,1,,-66.7%,14,0,-31,112.2%,0%,10.8%
"San Jose, CA - Alma-Almaden",May 2015,$415K,1.1%,59.6%,1,0%,-80%,3,50%,-25%,,,,10,-4,-35,103.8%,-8.5%,3.6%
"San Jose, CA - Alma-Almaden",June 2015,$440K,6%,51.7%,3,200%,-50%,5,66.7%,-16.7%,2,,100%,10,0,-24,102.2%,-1.6%,1.7%
"San Jose, CA - Alma-Almaden",July 2015,$440K,0%,27.5%,3,0%,-40%,4,-20%,-20%,2,0%,0%,10,0,2,102.2%,0%,1.3%
"San Jose, CA - Alma-Almaden",August 2015,$440K,0%,27.5%,3,0%,-50%,2,-50%,-75%,1,-50%,-50%,13,3,5,100.9%,-1.3%,0%
"San Jose, CA - Alma-Almaden",September 2015,$363K,-17.6%,5.1%,2,-33.3%,-71.4%,3,50%,-62.5%,3,200%,0%,69,56,61,101.9%,0.9%,0.7%
"San Jose, CA - Alma-Almaden",October 2015,$285K,-21.4%,-18%,3,50%,-62.5%,4,33.3%,-50%,2,-33.3%,-33.3%,56,-13,48,101.2%,-0.6%,0.7%
"San Jose, CA - Alma-Almaden",November 2015,$430K,50.9%,22.9%,3,0%,-40%,5,25%,25%,2,0%,0%,29,-27,14,101.6%,0.3%,1.3%
"San Jose, CA - Alma-Almaden",December 2015,$430K,0%,20.3%,3,0%,-50%,2,-60%,-33.3%,1,-50%,,29,0,-18,102.3%,0.7%,3.6%
"San Jose, CA - Alma-Almaden",January 2016,$438K,1.7%,22.4%,4,33.3%,0%,2,0%,100%,1,0%,,39,10,-8,101.7%,-0.6%,2.7%
"San Jose, CA - Alma-Almaden",February 2016,$448K,2.3%,22.6%,4,0%,-20%,4,100%,100%,2,100%,,39,0,-7,102.7%,1%,1%
"San Jose, CA - Alma-Almaden",March 2016,$448K,0%,9%,6,50%,500%,7,75%,600%,2,0%,,33,-6,19,102.7%,0%,-9.5%
"San Jose, CA - Alma-Almaden",April 2016,$450K,0.6%,9.6%,7,16.7%,600%,8,14.3%,300%,2,0%,100%,29,-4,15,102.1%,-0.6%,-10.1%
"San Jose, CA - Alma-Almaden",May 2016,$450K,0%,8.4%,7,0%,600%,6,-25%,100%,1,-50%,,17,-13,7,102.2%,0.1%,-1.6%
"San Jose, CA - Alma-Almaden",June 2016,$460K,2.2%,4.5%,7,0%,133.3%,4,-33.3%,-20%,,,,11,-6,1,101.4%,-0.8%,-0.7%
"San Jose, CA - Alma-Almaden",July 2016,$470K,2.2%,6.8%,5,-28.6%,66.7%,2,-50%,-50%,,,,7,-4,-3,102.8%,1.3%,0.6%
"San Jose, CA - Alma-Almaden",August 2016,$465K,-1.1%,5.7%,4,-20%,33.3%,2,0%,0%,1,,0%,11,4,-2,102.1%,-0.7%,1.2%
"San Jose, CA - Alma-Almaden",September 2016,$468K,0.5%,29%,2,-50%,0%,3,50%,0%,2,100%,-33.3%,17,6,-52,101.8%,-0.4%,-0.1%
"San Jose, CA - Alma-Almaden",October 2016,$390K,-16.6%,36.8%,3,50%,0%,5,66.7%,25%,1,-50%,-50%,26,10,-30,103.9%,2.1%,2.6%
"San Jose, CA - Alma-Almaden",November 2016,$366K,-6.2%,-14.9%,4,33.3%,33.3%,4,-20%,-20%,1,0%,-50%,24,-2,-5,104.2%,0.3%,2.7%
"San Jose, CA - Alma-Almaden",December 2016,$342K,-6.6%,-20.5%,3,-25%,0%,4,0%,100%,3,200%,200%,22,-2,-7,105.2%,1%,2.9%
"San Jose, CA - Almaden Meadows",January 2012,$768K,0%,-4%,10,66.7%,11.1%,4,-50%,0%,2,-33.3%,0%,25,1,-32,99.4%,-0.7%,0.4%
"San Jose, CA - Almaden Meadows",February 2012,$771K,0.4%,0.5%,9,-10%,12.5%,2,-50%,-60%,2,0%,-60%,27,2,-32,98.2%,-1.1%,-0.4%
"San Jose, CA - Almaden Meadows",March 2012,$750K,-2.7%,2%,7,-22.2%,0%,6,200%,-14.3%,3,50%,-62.5%,23,-4,-34,100.3%,2%,-0.6%
"San Jose, CA - Almaden Meadows",April 2012,$708K,-5.6%,1.8%,3,-57.1%,50%,6,0%,-50%,3,0%,-70%,11,-12,-33,103.8%,3.5%,-2%
"San Jose, CA - Almaden Meadows",May 2012,$785K,10.9%,-1.9%,5,66.7%,66.7%,8,33.3%,-38.5%,4,33.3%,-55.6%,126,115,99,101.2%,-2.6%,-1.2%
"San Jose, CA - Almaden Meadows",June 2012,$848K,8%,3.6%,5,0%,-37.5%,7,-12.5%,-53.3%,3,-25%,-70%,126,0,110,98.7%,-2.5%,0%
"San Jose, CA - Almaden Meadows",July 2012,$855K,0.8%,4.5%,7,40%,-30%,11,57.1%,10%,8,166.7%,14.3%,28,-98,12,99.1%,0.5%,0.2%
"San Jose, CA - Almaden Meadows",August 2012,$848K,-0.8%,14.7%,7,0%,-36.4%,12,9.1%,33.3%,8,0%,0%,18,-10,3,99.9%,0.8%,1.6%
"San Jose, CA - Almaden Meadows",September 2012,$760K,-10.4%,7.8%,9,28.6%,28.6%,13,8.3%,160%,7,-12.5%,75%,21,3,2,100.2%,0.3%,1.7%
"San Jose, CA - Almaden Meadows",October 2012,$788K,3.6%,9.8%,10,11.1%,66.7%,10,-23.1%,11.1%,5,-28.6%,-28.6%,17,-5,-9,99.8%,-0.4%,2%
"San Jose, CA - Almaden Meadows",November 2012,$848K,7.7%,18.2%,12,20%,200%,8,-20%,-11.1%,1,-80%,-83.3%,26,10,9,99%,-0.8%,-3.3%
"San Jose, CA - Almaden Meadows",December 2012,$880K,3.8%,14.6%,11,-8.3%,83.3%,5,-37.5%,-37.5%,1,0%,-66.7%,24,-2,-1,98.6%,-0.4%,-1.5%
"San Jose, CA - Almaden Meadows",January 2013,$817K,-7.2%,6.4%,9,-18.2%,-10%,6,20%,50%,2,100%,0%,28,4,3,98.8%,0.2%,-0.6%
"San Jose, CA - Almaden Meadows",February 2013,$910K,11.4%,18%,7,-22.2%,-22.2%,9,50%,350%,4,100%,100%,11,-17,-16,101.6%,2.8%,3.3%
"San Jose, CA - Almaden Meadows",March 2013,$962K,5.7%,28.3%,7,0%,0%,13,44.4%,116.7%,4,0%,33.3%,8,-3,-15,102.6%,1.1%,2.3%
"San Jose, CA - Almaden Meadows",April 2013,$956K,-0.6%,35%,10,42.9%,233.3%,14,7.7%,133.3%,4,0%,33.3%,14,6,3,101.3%,-1.3%,-2.4%
"San Jose, CA - Almaden Meadows",May 2013,$954K,-0.2%,21.5%,15,50%,200%,13,-7.1%,62.5%,3,-25%,-25%,13,-2,-114,101.2%,-0.1%,0.1%
"San Jose, CA - Almaden Meadows",June 2013,$951K,-0.3%,12.1%,14,-6.7%,180%,17,30.8%,142.9%,8,166.7%,166.7%,15,3,-111,101.5%,0.3%,2.9%
"San Jose, CA - Almaden Meadows",July 2013,$954K,0.3%,11.6%,13,-7.1%,85.7%,20,17.6%,81.8%,7,-12.5%,-12.5%,13,-3,-16,102.3%,0.8%,3.2%
"San Jose, CA - Almaden Meadows",August 2013,$990K,3.7%,16.7%,14,7.7%,100%,19,-5%,58.3%,5,-28.6%,-37.5%,17,5,-1,101.4%,-0.9%,1.5%
"San Jose, CA - Almaden Meadows",September 2013,$978K,-1.2%,28.6%,14,0%,55.6%,11,-42.1%,-15.4%,5,0%,-28.6%,17,-1,-5,101.4%,-0.1%,1.2%
"San Jose, CA - Almaden Meadows",October 2013,$982K,0.4%,24.6%,12,-14.3%,20%,9,-18.2%,-10%,5,0%,0%,17,1,1,100.8%,-0.6%,1%
"San Jose, CA - Almaden Meadows",November 2013,$960K,-2.2%,13.2%,11,-8.3%,-8.3%,7,-22.2%,-12.5%,,,,20,3,-6,100.7%,-0.1%,1.7%
"San Jose, CA - Almaden Meadows",December 2013,"$1,013K",5.5%,15.1%,12,9.1%,9.1%,8,14.3%,60%,,,,24,4,-1,100.3%,-0.3%,1.8%
"San Jose, CA - Almaden Meadows",January 2014,"$1,042K",2.9%,27.5%,12,0%,33.3%,5,-37.5%,-16.7%,1,,-50%,14,-10,-15,101.9%,1.6%,3.1%
"San Jose, CA - Almaden Meadows",February 2014,"$1,125K",8%,23.6%,6,-50%,-14.3%,6,20%,-33.3%,2,100%,-50%,8,-6,-4,103.8%,1.9%,2.3%
"San Jose, CA - Almaden Meadows",March 2014,"$1,061K",-5.7%,10.3%,4,-33.3%,-42.9%,10,66.7%,-23.1%,4,100%,0%,7,-1,-2,105.5%,1.7%,2.9%
"San Jose, CA - Almaden Meadows",April 2014,"$1,140K",7.4%,19.2%,6,50%,-40%,13,30%,-7.1%,2,-50%,-50%,10,3,-5,105.7%,0.2%,4.3%
"San Jose, CA - Almaden Meadows",May 2014,"$1,128K",-1.1%,18.2%,12,100%,-20%,19,46.2%,46.2%,6,200%,100%,10,1,-3,104.8%,-0.9%,3.5%
"San Jose, CA - Almaden Meadows",June 2014,"$1,149K",1.9%,20.8%,16,33.3%,14.3%,17,-10.5%,0%,1,-83.3%,-87.5%,9,-1,-6,108.2%,3.4%,6.7%
"San Jose, CA - Almaden Meadows",July 2014,"$1,163K",1.2%,21.9%,18,12.5%,38.5%,17,0%,-15%,3,200%,-57.1%,6,-3,-7,108.8%,0.6%,6.5%
"San Jose, CA - Almaden Meadows",August 2014,"$1,184K",1.8%,19.6%,16,-11.1%,14.3%,13,-23.5%,-31.6%,3,0%,-40%,7,1,-11,109.2%,0.4%,7.8%
"San Jose, CA - Almaden Meadows",September 2014,"$1,192K",0.7%,21.9%,13,-18.8%,-7.1%,13,0%,18.2%,5,66.7%,0%,8,2,-9,105.9%,-3.3%,4.5%
