Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"San Jose, CA - Almaden Meadows",October 2012,$788K,3.6%,9.8%,10,11.1%,66.7%,10,-23.1%,11.1%,5,-28.6%,-28.6%,17,-5,-9,99.8%,-0.4%,2%
"San Jose, CA - Almaden Meadows",November 2012,$848K,7.7%,18.2%,12,20%,200%,8,-20%,-11.1%,1,-80%,-83.3%,26,10,9,99%,-0.8%,-3.3%
"San Jose, CA - Almaden Meadows",December 2012,$880K,3.8%,14.6%,11,-8.3%,83.3%,5,-37.5%,-37.5%,1,0%,-66.7%,24,-2,-1,98.6%,-0.4%,-1.5%
"San Jose, CA - Almaden Meadows",January 2013,$817K,-7.2%,6.4%,9,-18.2%,-10%,6,20%,50%,2,100%,0%,28,4,3,98.8%,0.2%,-0.6%
"San Jose, CA - Almaden Meadows",February 2013,$910K,11.4%,18%,7,-22.2%,-22.2%,9,50%,350%,4,100%,100%,11,-17,-16,101.6%,2.8%,3.3%
"San Jose, CA - Almaden Meadows",March 2013,$962K,5.7%,28.3%,7,0%,0%,13,44.4%,116.7%,4,0%,33.3%,8,-3,-15,102.6%,1.1%,2.3%
"San Jose, CA - Almaden Meadows",April 2013,$956K,-0.6%,35%,10,42.9%,233.3%,14,7.7%,133.3%,4,0%,33.3%,14,6,3,101.3%,-1.3%,-2.4%
"San Jose, CA - Almaden Meadows",May 2013,$954K,-0.2%,21.5%,15,50%,200%,13,-7.1%,62.5%,3,-25%,-25%,13,-2,-114,101.2%,-0.1%,0.1%
"San Jose, CA - Almaden Meadows",June 2013,$951K,-0.3%,12.1%,14,-6.7%,180%,17,30.8%,142.9%,8,166.7%,166.7%,15,3,-111,101.5%,0.3%,2.9%
"San Jose, CA - Almaden Meadows",July 2013,$954K,0.3%,11.6%,13,-7.1%,85.7%,20,17.6%,81.8%,7,-12.5%,-12.5%,13,-3,-16,102.3%,0.8%,3.2%
"San Jose, CA - Almaden Meadows",August 2013,$990K,3.7%,16.7%,14,7.7%,100%,19,-5%,58.3%,5,-28.6%,-37.5%,17,5,-1,101.4%,-0.9%,1.5%
"San Jose, CA - Almaden Meadows",September 2013,$978K,-1.2%,28.6%,14,0%,55.6%,11,-42.1%,-15.4%,5,0%,-28.6%,17,-1,-5,101.4%,-0.1%,1.2%
"San Jose, CA - Almaden Meadows",October 2013,$982K,0.4%,24.6%,12,-14.3%,20%,9,-18.2%,-10%,5,0%,0%,17,1,1,100.8%,-0.6%,1%
"San Jose, CA - Almaden Meadows",November 2013,$960K,-2.2%,13.2%,11,-8.3%,-8.3%,7,-22.2%,-12.5%,,,,20,3,-6,100.7%,-0.1%,1.7%
"San Jose, CA - Almaden Meadows",December 2013,"$1,013K",5.5%,15.1%,12,9.1%,9.1%,8,14.3%,60%,,,,24,4,-1,100.3%,-0.3%,1.8%
"San Jose, CA - Almaden Meadows",January 2014,"$1,042K",2.9%,27.5%,12,0%,33.3%,5,-37.5%,-16.7%,1,,-50%,14,-10,-15,101.9%,1.6%,3.1%
"San Jose, CA - Almaden Meadows",February 2014,"$1,125K",8%,23.6%,6,-50%,-14.3%,6,20%,-33.3%,2,100%,-50%,8,-6,-4,103.8%,1.9%,2.3%
"San Jose, CA - Almaden Meadows",March 2014,"$1,061K",-5.7%,10.3%,4,-33.3%,-42.9%,10,66.7%,-23.1%,4,100%,0%,7,-1,-2,105.5%,1.7%,2.9%
"San Jose, CA - Almaden Meadows",April 2014,"$1,140K",7.4%,19.2%,6,50%,-40%,13,30%,-7.1%,2,-50%,-50%,10,3,-5,105.7%,0.2%,4.3%
"San Jose, CA - Almaden Meadows",May 2014,"$1,128K",-1.1%,18.2%,12,100%,-20%,19,46.2%,46.2%,6,200%,100%,10,1,-3,104.8%,-0.9%,3.5%
"San Jose, CA - Almaden Meadows",June 2014,"$1,149K",1.9%,20.8%,16,33.3%,14.3%,17,-10.5%,0%,1,-83.3%,-87.5%,9,-1,-6,108.2%,3.4%,6.7%
"San Jose, CA - Almaden Meadows",July 2014,"$1,163K",1.2%,21.9%,18,12.5%,38.5%,17,0%,-15%,3,200%,-57.1%,6,-3,-7,108.8%,0.6%,6.5%
"San Jose, CA - Almaden Meadows",August 2014,"$1,184K",1.8%,19.6%,16,-11.1%,14.3%,13,-23.5%,-31.6%,3,0%,-40%,7,1,-11,109.2%,0.4%,7.8%
"San Jose, CA - Almaden Meadows",September 2014,"$1,192K",0.7%,21.9%,13,-18.8%,-7.1%,13,0%,18.2%,5,66.7%,0%,8,2,-9,105.9%,-3.3%,4.5%
"San Jose, CA - Almaden Meadows",October 2014,"$1,078K",-9.6%,9.8%,11,-15.4%,-8.3%,8,-38.5%,-11.1%,2,-60%,-60%,20,12,3,102.7%,-3.2%,1.9%
"San Jose, CA - Almaden Meadows",November 2014,"$1,055K",-2.1%,9.9%,7,-36.4%,-36.4%,5,-37.5%,-28.6%,1,-50%,,22,2,2,101.3%,-1.4%,0.6%
"San Jose, CA - Almaden Meadows",December 2014,"$1,058K",0.2%,4.4%,8,14.3%,-33.3%,1,-80%,-87.5%,,,,27,5,4,100.8%,-0.4%,0.5%
"San Jose, CA - Almaden Meadows",January 2015,"$1,055K",-0.3%,1.2%,4,-50%,-66.7%,4,300%,-20%,2,,100%,69,42,56,99.9%,-0.9%,-2%
"San Jose, CA - Almaden Meadows",February 2015,"$1,075K",1.9%,-4.4%,5,25%,-16.7%,5,25%,-16.7%,2,0%,0%,56,-14,48,102.7%,2.7%,-1.2%
"San Jose, CA - Almaden Meadows",March 2015,"$1,200K",11.6%,13.1%,5,0%,25%,12,140%,20%,3,50%,-25%,13,-43,6,107.3%,4.6%,1.8%
"San Jose, CA - Almaden Meadows",April 2015,"$1,170K",-2.5%,2.6%,10,100%,66.7%,15,25%,15.4%,4,33.3%,100%,9,-4,-1,109.2%,1.9%,3.5%
"San Jose, CA - Almaden Meadows",May 2015,"$1,207K",3.2%,7%,12,20%,0%,14,-6.7%,-26.3%,3,-25%,-50%,9,0,-1,110%,0.8%,5.2%
"San Jose, CA - Almaden Meadows",June 2015,"$1,209K",0.2%,5.2%,12,0%,-25%,8,-42.9%,-52.9%,1,-66.7%,0%,10,1,1,108.5%,-1.5%,0.3%
"San Jose, CA - Almaden Meadows",July 2015,"$1,231K",1.8%,5.8%,8,-33.3%,-55.6%,5,-37.5%,-70.6%,2,100%,-33.3%,9,-1,3,108.2%,-0.2%,-0.6%
"San Jose, CA - Almaden Meadows",August 2015,"$1,156K",-6.1%,-2.3%,6,-25%,-62.5%,8,60%,-38.5%,3,50%,0%,31,22,25,105.1%,-3.1%,-4.1%
"San Jose, CA - Almaden Meadows",September 2015,"$1,237K",7%,3.7%,6,0%,-53.8%,9,12.5%,-30.8%,3,0%,-40%,10,-22,2,107.9%,2.7%,2%
"San Jose, CA - Almaden Meadows",October 2015,"$1,237K",0%,14.7%,6,0%,-45.5%,8,-11.1%,0%,3,0%,50%,20,10,-1,105.3%,-2.6%,2.6%
"San Jose, CA - Almaden Meadows",November 2015,"$1,248K",0.9%,18.3%,5,-16.7%,-28.6%,7,-12.5%,40%,2,-33.3%,100%,9,-11,-13,111.2%,5.9%,9.9%
"San Jose, CA - Almaden Meadows",December 2015,"$1,268K",1.6%,19.9%,6,20%,-25%,5,-28.6%,400%,2,0%,,26,17,-2,106.2%,-5%,5.4%
"San Jose, CA - Almaden Meadows",January 2016,"$1,203K",-5.1%,14%,6,0%,50%,3,-40%,-25%,1,-50%,-50%,11,-15,-58,105.2%,-1%,5.2%
"San Jose, CA - Almaden Meadows",February 2016,"$1,225K",1.9%,14%,8,33.3%,60%,5,66.7%,0%,2,100%,0%,62,51,7,99.9%,-5.3%,-2.8%
"San Jose, CA - Almaden Meadows",March 2016,"$1,240K",1.2%,3.3%,7,-12.5%,40%,12,140%,0%,3,50%,0%,9,-53,-4,102.7%,2.8%,-4.6%
"San Jose, CA - Almaden Meadows",April 2016,"$1,280K",3.2%,9.4%,11,57.1%,10%,13,8.3%,-13.3%,1,-66.7%,-75%,14,5,5,104%,1.3%,-5.2%
"San Jose, CA - Almaden Meadows",May 2016,"$1,300K",1.6%,7.7%,11,0%,-8.3%,13,0%,-7.1%,2,100%,-33.3%,9,-5,0,105%,1%,-5%
"San Jose, CA - Almaden Meadows",June 2016,"$1,268K",-2.5%,4.8%,10,-9.1%,-16.7%,13,0%,62.5%,7,250%,600%,14,5,4,103.1%,-1.9%,-5.4%
"San Jose, CA - Almaden Meadows",July 2016,"$1,245K",-1.8%,1.2%,10,0%,25%,13,0%,160%,4,-42.9%,100%,21,7,12,101%,-2%,-7.2%
"San Jose, CA - Almaden Meadows",August 2016,"$1,300K",4.4%,12.5%,10,0%,66.7%,10,-23.1%,25%,3,-25%,0%,21,0,-11,100.9%,-0.2%,-4.3%
"San Jose, CA - Almaden Meadows",September 2016,"$1,218K",-6.3%,-1.5%,10,0%,66.7%,5,-50%,-44.4%,5,66.7%,66.7%,33,13,24,100.6%,-0.3%,-7.3%
"San Jose, CA - Almaden Meadows",October 2016,"$1,159K",-4.8%,-6.3%,6,-40%,0%,7,40%,-12.5%,4,-20%,33.3%,47,14,27,101.7%,1.1%,-3.6%
"San Jose, CA - Almaden Meadows",November 2016,"$1,150K",-0.8%,-7.8%,6,0%,20%,6,-14.3%,-14.3%,3,-25%,50%,48,1,39,101%,-0.7%,-10.1%
"San Jose, CA - Almaden Meadows",December 2016,"$1,160K",0.9%,-8.5%,7,16.7%,16.7%,4,-33.3%,-20%,,,,35,-13,10,102.7%,1.7%,-3.5%
"San Jose, CA - Almaden Valley",January 2012,$842K,-9.5%,-5.4%,62,-7.5%,-7.5%,59,7.3%,3.5%,62,26.5%,-12.7%,61,19,-7,98.1%,0.2%,0.9%
"San Jose, CA - Almaden Valley",February 2012,$842K,0%,-5.4%,62,0%,0%,74,25.4%,-11.9%,57,-8.1%,-36%,56,-5,-16,97.3%,-0.8%,0.7%
"San Jose, CA - Almaden Valley",March 2012,$838K,-0.5%,-0.6%,74,19.4%,-1.3%,105,41.9%,-12.5%,66,15.8%,-32.7%,38,-19,-19,97.7%,0.4%,0.1%
"San Jose, CA - Almaden Valley",April 2012,$850K,1.5%,-0.1%,80,8.1%,2.6%,119,13.3%,-14.4%,70,6.1%,-38.1%,23,-15,-6,98.4%,0.7%,0.5%
"San Jose, CA - Almaden Valley",May 2012,$876K,3%,-2.7%,92,15%,-1.1%,133,11.8%,-4.3%,75,7.1%,-34.2%,18,-5,-5,99.4%,1%,1%
"San Jose, CA - Almaden Valley",June 2012,$930K,6.2%,3.6%,95,3.3%,-3.1%,124,-6.8%,-6.8%,64,-14.7%,-45.8%,18,0,-5,99.8%,0.4%,1.1%
"San Jose, CA - Almaden Valley",July 2012,$955K,2.7%,4.1%,105,10.5%,14.1%,124,0%,-3.9%,73,14.1%,-31.8%,16,-2,-9,100%,0.2%,1.5%
"San Jose, CA - Almaden Valley",August 2012,$945K,-1%,9.1%,104,-1%,4%,115,-7.3%,8.5%,66,-9.6%,-29.8%,18,2,-19,99.9%,-0.1%,1.7%
"San Jose, CA - Almaden Valley",September 2012,$888K,-6.1%,4.1%,94,-9.6%,14.6%,107,-7%,13.8%,67,1.5%,-18.3%,19,1,-29,100.1%,0.2%,3.1%
"San Jose, CA - Almaden Valley",October 2012,$900K,1.4%,4.7%,91,-3.2%,0%,94,-12.1%,19%,59,-11.9%,-22.4%,22,3,-20,99.9%,-0.2%,2.9%
"San Jose, CA - Almaden Valley",November 2012,$930K,3.3%,4.3%,87,-4.4%,20.8%,75,-20.2%,11.9%,40,-32.2%,-35.5%,22,0,-15,99.9%,0%,2.6%
"San Jose, CA - Almaden Valley",December 2012,$948K,1.9%,1.9%,81,-6.9%,20.9%,57,-24%,3.6%,27,-32.5%,-44.9%,23,1,-20,99.4%,-0.5%,1.5%
"San Jose, CA - Almaden Valley",January 2013,$947K,-0.1%,12.5%,74,-8.6%,19.4%,58,1.8%,-1.7%,30,11.1%,-51.6%,26,4,-35,99.2%,-0.2%,1%
"San Jose, CA - Almaden Valley",February 2013,$939K,-0.8%,11.6%,66,-10.8%,6.5%,83,43.1%,12.2%,42,40%,-26.3%,17,-10,-40,100%,0.8%,2.7%
"San Jose, CA - Almaden Valley",March 2013,"$1,024K",9%,22.3%,81,22.7%,9.5%,118,42.2%,12.4%,33,-21.4%,-50%,14,-3,-24,100.6%,0.6%,3%
"San Jose, CA - Almaden Valley",April 2013,$985K,-3.8%,15.9%,102,25.9%,27.5%,147,24.6%,23.5%,49,48.5%,-30%,11,-3,-12,102.2%,1.5%,3.8%
"San Jose, CA - Almaden Valley",May 2013,"$1,015K",3%,15.9%,134,31.4%,45.7%,170,15.6%,27.8%,54,10.2%,-28%,11,0,-7,102.5%,0.4%,3.2%
"San Jose, CA - Almaden Valley",June 2013,"$1,003K",-1.2%,7.8%,146,9%,53.7%,171,0.6%,37.9%,51,-5.6%,-20.3%,10,-1,-8,103.4%,0.9%,3.7%
"San Jose, CA - Almaden Valley",July 2013,"$1,050K",4.7%,9.9%,141,-3.4%,34.3%,162,-5.3%,30.6%,56,9.8%,-23.3%,11,1,-6,103.5%,0%,3.5%
"San Jose, CA - Almaden Valley",August 2013,"$1,013K",-3.6%,7.1%,144,2.1%,38.5%,138,-14.8%,20%,40,-28.6%,-39.4%,12,2,-6,103.2%,-0.2%,3.3%
"San Jose, CA - Almaden Valley",September 2013,"$1,022K",0.9%,15.1%,134,-6.9%,42.6%,126,-8.7%,17.8%,40,0%,-40.3%,13,1,-7,102.8%,-0.4%,2.7%
"San Jose, CA - Almaden Valley",October 2013,"$1,030K",0.8%,14.4%,117,-12.7%,28.6%,100,-20.6%,6.4%,32,-20%,-45.8%,15,3,-7,102.2%,-0.6%,2.3%
"San Jose, CA - Almaden Valley",November 2013,"$1,080K",4.9%,16.1%,98,-16.2%,12.6%,74,-26%,-1.3%,15,-53.1%,-62.5%,15,0,-7,101.3%,-0.8%,1.4%
"San Jose, CA - Almaden Valley",December 2013,"$1,113K",3%,17.4%,82,-16.3%,1.2%,48,-35.1%,-15.8%,9,-40%,-66.7%,17,2,-6,100.3%,-1%,0.9%
"San Jose, CA - Almaden Valley",January 2014,"$1,149K",3.3%,21.4%,66,-19.5%,-10.8%,48,0%,-17.2%,19,111.1%,-36.7%,15,-3,-12,101.1%,0.8%,1.9%
"San Jose, CA - Almaden Valley",February 2014,"$1,149K",0%,22.3%,48,-27.3%,-27.3%,74,54.2%,-10.8%,28,47.4%,-33.3%,10,-5,-7,102.6%,1.5%,2.6%
"San Jose, CA - Almaden Valley",March 2014,"$1,115K",-3%,8.9%,66,37.5%,-18.5%,117,58.1%,-0.8%,36,28.6%,9.1%,9,-1,-5,104.2%,1.6%,3.6%
"San Jose, CA - Almaden Valley",April 2014,"$1,198K",7.4%,21.6%,95,43.9%,-6.9%,138,17.9%,-6.1%,39,8.3%,-20.4%,9,0,-2,104.6%,0.4%,2.4%
"San Jose, CA - Almaden Valley",May 2014,"$1,199K",0.1%,18.1%,122,28.4%,-9%,158,14.5%,-7.1%,55,41%,1.9%,9,0,-2,104.7%,0.1%,2.2%
"San Jose, CA - Almaden Valley",June 2014,"$1,200K",0.1%,19.6%,122,0%,-16.4%,144,-8.9%,-15.8%,49,-10.9%,-3.9%,9,0,-1,105.8%,1.1%,2.3%
"San Jose, CA - Almaden Valley",July 2014,"$1,208K",0.6%,15%,124,1.6%,-12.1%,137,-4.9%,-15.4%,46,-6.1%,-17.9%,10,1,-1,105.6%,-0.2%,2.1%
"San Jose, CA - Almaden Valley",August 2014,"$1,220K",1%,20.5%,128,3.2%,-11.1%,100,-27%,-27.5%,38,-17.4%,-5%,12,2,0,104.3%,-1.3%,1.1%
"San Jose, CA - Almaden Valley",September 2014,"$1,211K",-0.7%,18.6%,108,-15.6%,-19.4%,89,-11%,-29.4%,45,18.4%,12.5%,13,1,0,103.1%,-1.2%,0.4%
"San Jose, CA - Almaden Valley",October 2014,"$1,215K",0.3%,18%,81,-25%,-30.8%,74,-16.9%,-26%,40,-11.1%,25%,15,2,-1,101.9%,-1.3%,-0.3%
"San Jose, CA - Almaden Valley",November 2014,"$1,250K",2.9%,15.7%,49,-39.5%,-50%,68,-8.1%,-8.1%,35,-12.5%,133.3%,20,6,5,101.9%,0%,0.5%
"San Jose, CA - Almaden Valley",December 2014,"$1,244K",-0.5%,11.8%,49,0%,-40.2%,50,-26.5%,4.2%,19,-45.7%,111.1%,27,7,10,101.2%,-0.6%,0.9%
"San Jose, CA - Almaden Valley",January 2015,"$1,250K",0.5%,8.8%,52,6.1%,-21.2%,49,-2%,2.1%,31,63.2%,63.2%,28,1,14,100.4%,-0.9%,-0.7%
"San Jose, CA - Almaden Valley",February 2015,"$1,250K",0%,8.8%,55,5.8%,14.6%,69,40.8%,-6.8%,39,25.8%,39.3%,22,-7,12,100.8%,0.5%,-1.7%
"San Jose, CA - Almaden Valley",March 2015,"$1,330K",6.4%,19.2%,70,27.3%,6.1%,117,69.6%,0%,50,28.2%,38.9%,15,-7,6,103.7%,2.8%,-0.5%
"San Jose, CA - Almaden Valley",April 2015,"$1,340K",0.8%,11.9%,97,38.6%,2.1%,143,22.2%,3.6%,49,-2%,25.6%,12,-3,3,105.6%,1.9%,1%
"San Jose, CA - Almaden Valley",May 2015,"$1,360K",1.5%,13.4%,126,29.9%,3.3%,161,12.6%,1.9%,61,24.5%,10.9%,10,-2,1,106.8%,1.3%,2.1%
"San Jose, CA - Almaden Valley",June 2015,"$1,360K",0%,13.3%,123,-2.4%,0.8%,138,-14.3%,-4.2%,62,1.6%,26.5%,11,1,2,106.2%,-0.7%,0.4%
"San Jose, CA - Almaden Valley",July 2015,"$1,350K",-0.7%,11.8%,115,-6.5%,-7.3%,126,-8.7%,-8%,55,-11.3%,19.6%,12,2,2,104.9%,-1.3%,-0.7%
"San Jose, CA - Almaden Valley",August 2015,"$1,295K",-4.1%,6.1%,104,-9.6%,-18.8%,103,-18.3%,3%,47,-14.5%,23.7%,22,10,10,102.3%,-2.5%,-2%
"San Jose, CA - Almaden Valley",September 2015,"$1,320K",1.9%,9%,109,4.8%,0.9%,100,-2.9%,12.4%,54,14.9%,20%,26,4,14,102.1%,-0.3%,-1.1%
"San Jose, CA - Almaden Valley",October 2015,"$1,320K",0%,8.6%,89,-18.3%,9.9%,89,-11%,20.3%,49,-9.3%,22.5%,22,-4,8,102.4%,0.4%,0.5%
"San Jose, CA - Almaden Valley",November 2015,"$1,320K",0%,5.6%,70,-21.3%,42.9%,69,-22.5%,1.5%,35,-28.6%,0%,20,-2,0,103.3%,0.9%,1.5%
"San Jose, CA - Almaden Valley",December 2015,"$1,310K",-0.8%,5.3%,60,-14.3%,22.4%,47,-31.9%,-6%,27,-22.9%,42.1%,28,8,1,101.4%,-1.9%,0.2%
"San Jose, CA - Almaden Valley",January 2016,"$1,270K",-3.1%,1.6%,56,-6.7%,7.7%,32,-31.9%,-34.7%,22,-18.5%,-29%,39,11,11,101.1%,-0.3%,0.8%
"San Jose, CA - Almaden Valley",February 2016,"$1,277K",0.5%,2.1%,52,-7.1%,-5.5%,61,90.6%,-11.6%,41,86.4%,5.1%,52,14,31,100.1%,-1.1%,-0.8%
"San Jose, CA - Almaden Valley",March 2016,"$1,349K",5.7%,1.5%,50,-3.8%,-28.6%,92,50.8%,-21.4%,50,22%,0%,19,-33,4,103%,2.9%,-0.7%
"San Jose, CA - Almaden Valley",April 2016,"$1,460K",8.2%,9%,76,52%,-21.6%,127,38%,-11.2%,61,22%,24.5%,18,-1,6,102.8%,-0.2%,-2.8%
"San Jose, CA - Almaden Valley",May 2016,"$1,445K",-1%,6.3%,91,19.7%,-27.8%,143,12.6%,-11.2%,75,23%,23%,16,-2,6,103.2%,0.4%,-3.6%
"San Jose, CA - Almaden Valley",June 2016,"$1,369K",-5.3%,0.7%,115,26.4%,-6.5%,149,4.2%,8%,77,2.7%,24.2%,20,4,10,102.2%,-1%,-4%
"San Jose, CA - Almaden Valley",July 2016,"$1,310K",-4.3%,-3%,109,-5.2%,-5.2%,140,-6%,11.1%,75,-2.6%,36.4%,28,8,16,101.6%,-0.6%,-3.3%
"San Jose, CA - Almaden Valley",August 2016,"$1,346K",2.7%,3.9%,120,10.1%,15.4%,116,-17.1%,12.6%,57,-24%,21.3%,33,5,11,100.7%,-0.8%,-1.6%
"San Jose, CA - Almaden Valley",September 2016,"$1,350K",0.3%,2.3%,109,-9.2%,0%,101,-12.9%,1%,57,0%,5.6%,37,4,11,99.9%,-0.9%,-2.2%
"San Jose, CA - Almaden Valley",October 2016,"$1,375K",1.9%,4.2%,100,-8.3%,12.4%,87,-13.9%,-2.2%,46,-19.3%,-6.1%,39,2,17,99.7%,-0.1%,-2.7%
"San Jose, CA - Almaden Valley",November 2016,"$1,380K",0.4%,4.5%,85,-15%,21.4%,73,-16.1%,5.8%,40,-13%,14.3%,40,1,20,99.5%,-0.2%,-3.8%
"San Jose, CA - Almaden Valley",December 2016,"$1,356K",-1.8%,3.5%,68,-20%,13.3%,45,-38.4%,-4.3%,18,-55%,-33.3%,41,2,13,99.4%,-0.1%,-2%
"San Jose, CA - Anderson East",January 2012,$405K,-3.6%,-6.5%,17,30.8%,54.5%,12,-14.3%,-20%,5,0%,-64.3%,17,-23,-12,101.9%,1.8%,4.8%
"San Jose, CA - Anderson East",February 2012,$410K,1.2%,-3.5%,18,5.9%,38.5%,16,33.3%,6.7%,4,-20%,-73.3%,15,-2,-14,101.5%,-0.5%,3.8%
"San Jose, CA - Anderson East",March 2012,$422K,2.9%,8.9%,17,-5.6%,41.7%,13,-18.8%,-7.1%,4,0%,-73.3%,12,-3,-17,100.8%,-0.6%,3.9%
"San Jose, CA - Anderson East",April 2012,$440K,4.3%,10.6%,12,-29.4%,20%,13,0%,8.3%,3,-25%,-75%,15,3,-7,101.4%,0.6%,2.1%
"San Jose, CA - Anderson East",May 2012,$465K,5.7%,16.9%,10,-16.7%,-16.7%,10,-23.1%,-28.6%,4,33.3%,-75%,62,47,24,101%,-0.4%,2.9%
"San Jose, CA - Anderson East",June 2012,$481K,3.4%,20.9%,10,0%,-28.6%,9,-10%,-30.8%,4,0%,-69.2%,29,-33,-54,101.4%,0.4%,1.4%
"San Jose, CA - Anderson East",July 2012,$475K,-1.2%,21.8%,7,-30%,-53.3%,10,11.1%,-23.1%,3,-25%,-72.7%,27,-2,-41,99.7%,-1.7%,-1%
"San Jose, CA - Anderson East",August 2012,$487K,2.4%,26.4%,9,28.6%,-10%,10,0%,11.1%,4,33.3%,-60%,27,0,-17,101.5%,1.8%,-1.1%
