Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"San Jose, CA - Blackford",October 2015,$995K,,-7.4%,2,,100%,2,,100%,1,,0%,25,,3,104.8%,,2.4%
"San Jose, CA - Blackford",November 2015,$995K,0%,19.2%,2,0%,100%,1,-50%,-66.7%,1,0%,0%,25,0,13,104.8%,0%,-5.4%
"San Jose, CA - Blackford",December 2015,"$1,050K",5.5%,25.7%,3,50%,200%,1,0%,-50%,1,0%,0%,36,12,24,102.5%,-2.3%,-7.7%
"San Jose, CA - Blackford",January 2016,"$1,445K",37.6%,40.3%,2,-33.3%,0%,1,0%,-66.7%,,,,109,73,101,99.7%,-2.8%,-8.7%
"San Jose, CA - Blackford",February 2016,"$1,445K",0%,20.2%,2,0%,0%,1,0%,-50%,,,,109,0,61,99.7%,0%,-0.8%
"San Jose, CA - Blackford",March 2016,"$1,520K",5.2%,24.1%,1,-50%,-66.7%,,,,,,,42,-67,31,101.4%,1.7%,0%
"San Jose, CA - Blackford",August 2016,"$1,075K",,,2,,,2,,,,,,15,,,102.4%,,
"San Jose, CA - Blackford",September 2016,"$1,075K",0%,,2,0%,,1,-50%,,,,,15,0,,102.4%,0%,
"San Jose, CA - Blackford",October 2016,"$1,075K",0%,8%,2,0%,0%,,,,,,,15,0,-10,102.4%,0%,-2.4%
"San Jose, CA - Bonita-24th",January 2012,$330K,-1.5%,8.2%,2,-33.3%,-60%,3,0%,200%,1,0%,0%,15,4,-128,103.6%,0.8%,9.1%
"San Jose, CA - Bonita-24th",February 2012,$330K,0%,-3.6%,2,0%,0%,3,0%,50%,2,100%,,15,0,-70,103.6%,0%,7.5%
"San Jose, CA - Bonita-24th",March 2012,$300K,-9.1%,-4.1%,1,-50%,-50%,1,-66.7%,-66.7%,1,-50%,0%,40,25,22,100%,-3.5%,4.3%
"San Jose, CA - Bonita-24th",April 2012,$300K,0%,-4.1%,1,0%,-50%,1,0%,-66.7%,1,0%,0%,40,0,22,100%,0%,4.3%
"San Jose, CA - Bonita-24th",May 2012,$300K,0%,13%,1,0%,0%,,,,1,0%,0%,40,0,30,100%,0%,-1.2%
"San Jose, CA - Bonita-24th",July 2012,$495K,,33.8%,1,,0%,2,,0%,,,,13,,-46,99%,,6.5%
"San Jose, CA - Bonita-24th",August 2012,$473K,-4.5%,27.7%,2,100%,100%,2,0%,0%,,,,11,-3,-49,100.8%,1.8%,8.2%
"San Jose, CA - Bonita-24th",September 2012,$473K,0%,39%,2,0%,0%,6,200%,200%,4,,300%,11,0,-49,100.8%,0%,8.8%
"San Jose, CA - Bonita-24th",October 2012,$450K,-4.8%,25.9%,1,-50%,-50%,4,-33.3%,100%,3,-25%,,8,-3,0,102.5%,1.8%,6.2%
"San Jose, CA - Bonita-24th",November 2012,$350K,-22.2%,-2.1%,4,300%,100%,4,0%,33.3%,,,,45,37,37,101.5%,-1%,5.2%
"San Jose, CA - Bonita-24th",December 2012,$350K,0%,4.5%,4,0%,33.3%,,,,,,,45,0,34,101.5%,0%,-1.3%
"San Jose, CA - Bonita-24th",January 2013,$350K,0%,6.1%,4,0%,100%,1,,-66.7%,1,,0%,45,0,30,101.5%,0%,-2.1%
"San Jose, CA - Bonita-24th",February 2013,$388K,10.9%,17.6%,1,-75%,-50%,2,100%,-33.3%,1,0%,-50%,14,-31,-1,107.8%,6.3%,4.2%
"San Jose, CA - Bonita-24th",March 2013,$388K,0%,29.3%,1,0%,0%,2,0%,100%,1,0%,0%,14,0,-26,107.8%,0%,7.7%
"San Jose, CA - Bonita-24th",April 2013,$388K,0%,29.3%,1,0%,0%,2,0%,100%,2,100%,100%,14,0,-26,107.8%,0%,7.7%
"San Jose, CA - Bonita-24th",May 2013,$490K,26.3%,63.3%,1,0%,0%,3,50%,,2,0%,100%,6,-8,-34,108.9%,1.1%,8.9%
"San Jose, CA - Bonita-24th",June 2013,$490K,0%,,1,0%,,3,0%,,1,-50%,,6,0,,108.9%,0%,
"San Jose, CA - Bonita-24th",July 2013,$495K,1%,0%,2,100%,100%,3,0%,50%,2,100%,,10,4,-4,100.3%,-8.6%,1.3%
"San Jose, CA - Bonita-24th",August 2013,$500K,1%,5.8%,1,-50%,-50%,1,-66.7%,-50%,2,0%,,13,4,3,91.7%,-8.6%,-9%
"San Jose, CA - Bonita-24th",September 2013,$500K,0%,5.8%,1,0%,-50%,1,0%,-83.3%,2,0%,-50%,13,0,3,91.7%,0%,-9%
"San Jose, CA - Bonita-24th",January 2014,$555K,,58.6%,1,,-75%,2,,100%,1,,0%,45,,0,99.3%,,-2.2%
"San Jose, CA - Bonita-24th",February 2014,$555K,0%,43%,1,0%,0%,1,-50%,-50%,,,,45,0,31,99.3%,0%,-8.5%
"San Jose, CA - Bonita-24th",March 2014,$546K,-1.7%,40.6%,2,100%,100%,,,,,,,47,2,33,88.2%,-11.1%,-19.6%
"San Jose, CA - Bonita-24th",April 2014,$536K,-1.7%,38.1%,1,-50%,0%,1,,-50%,1,,-50%,48,2,34,77.1%,-11.1%,-30.7%
"San Jose, CA - Bonita-24th",May 2014,$669K,24.8%,36.5%,2,100%,100%,3,200%,0%,2,100%,0%,27,-21,21,92.1%,15%,-16.8%
"San Jose, CA - Bonita-24th",June 2014,$802K,19.9%,63.7%,1,-50%,0%,4,33.3%,33.3%,2,0%,100%,6,-21,0,107.1%,15%,-1.8%
"San Jose, CA - Bonita-24th",July 2014,$802K,0%,62%,3,200%,50%,3,-25%,0%,1,-50%,-50%,11,5,2,99.8%,-7.3%,-0.6%
"San Jose, CA - Bonita-24th",August 2014,$765K,-4.6%,53%,2,-33.3%,100%,1,-66.7%,0%,1,0%,-50%,20,9,7,96.1%,-3.7%,4.4%
"San Jose, CA - Bonita-24th",September 2014,$765K,0%,53%,2,0%,100%,,,,1,0%,-50%,20,0,7,96.1%,0%,4.4%
"San Jose, CA - Bonita-24th",August 2015,$600K,,-21.6%,2,,0%,3,,200%,1,,0%,14,,-6,100%,,3.9%
"San Jose, CA - Bonita-24th",September 2015,$600K,0%,-21.6%,2,0%,0%,2,-33.3%,,1,0%,0%,14,0,-6,100%,0%,3.9%
"San Jose, CA - Bonita-24th",October 2015,$600K,0%,,2,0%,,,,,1,0%,,14,0,,100%,0%,
"San Jose, CA - Bonita-24th",March 2016,$493K,,,2,,,1,,,,,,117,,,100.2%,,
"San Jose, CA - Bonita-24th",April 2016,$493K,0%,,2,0%,,1,0%,,,,,117,0,,100.2%,0%,
"San Jose, CA - Bonita-24th",May 2016,$493K,0%,,2,0%,,1,0%,,,,,117,0,,100.2%,0%,
"San Jose, CA - Bonita-24th",June 2016,$655K,33%,,1,-50%,,1,0%,,,,,7,-110,,109.4%,9.2%,
"San Jose, CA - Bonita-24th",July 2016,$655K,0%,,1,0%,,,,,,,,7,0,,109.4%,0%,
"San Jose, CA - Bonita-24th",August 2016,$655K,0%,9.2%,1,0%,-50%,,,,,,,7,0,-7,109.4%,0%,9.4%
"San Jose, CA - Branham-Jarvis",October 2012,$620K,,,1,,,,,,,,,12,,,104.2%,,
"San Jose, CA - Branham-Jarvis",November 2012,$620K,0%,,1,0%,,,,,,,,12,0,,104.2%,0%,
"San Jose, CA - Branham-Jarvis",December 2012,$620K,0%,,1,0%,,,,,,,,12,0,,104.2%,0%,
"San Jose, CA - Branham-Jarvis",August 2016,$900K,,,1,,,,,,,,,112,,,100.1%,,
"San Jose, CA - Branham-Jarvis",September 2016,$900K,0%,,1,0%,,,,,,,,112,0,,100.1%,0%,
"San Jose, CA - Branham-Jarvis",October 2016,$900K,0%,,1,0%,,,,,,,,112,0,,100.1%,0%,
"San Jose, CA - Branham-Jarvis",December 2016,"$1,070K",,,1,,,1,,,,,,15,,,107.2%,,
"San Jose, CA - Branham-Kirk",August 2013,$750K,,,1,,,1,,,,,,23,,,102%,,
"San Jose, CA - Branham-Kirk",September 2013,$750K,0%,,1,0%,,,,,,,,23,0,,102%,0%,
"San Jose, CA - Branham-Kirk",October 2013,$750K,0%,,1,0%,,,,,,,,23,0,,102%,0%,
"San Jose, CA - Bucknall",February 2013,$788K,,,1,,,1,,,,,,16,,,112.6%,,
"San Jose, CA - Bucknall",March 2013,$788K,0%,,1,0%,,1,0%,,,,,16,0,,112.6%,0%,
"San Jose, CA - Bucknall",April 2013,$788K,0%,,1,0%,,,,,,,,16,0,,112.6%,0%,
"San Jose, CA - Buena Vista",January 2012,$495K,0%,,1,0%,,,,,,,,89,0,,100%,0%,
"San Jose, CA - Buena Vista",February 2012,$460K,-7.1%,,1,0%,,,,,,,,231,142,,95.8%,-4.2%,
"San Jose, CA - Buena Vista",March 2012,$460K,0%,,1,0%,,1,,,1,,,231,0,,95.8%,0%,
"San Jose, CA - Buena Vista",April 2012,$460K,0%,69.1%,1,0%,0%,2,100%,0%,2,100%,0%,231,0,189,95.8%,0%,-9.2%
"San Jose, CA - Buena Vista",June 2012,$410K,,50.7%,1,,0%,1,,,,,,19,,-23,120.6%,,15.6%
"San Jose, CA - Buena Vista",July 2012,$428K,4.3%,,2,100%,,,,,,,,66,47,,109.2%,-11.4%,
"San Jose, CA - Buena Vista",August 2012,$428K,0%,,2,0%,,,,,,,,66,0,,109.2%,0%,
"San Jose, CA - Buena Vista",September 2012,$445K,4.1%,,1,-50%,,,,,,,,112,47,,97.8%,-11.4%,
"San Jose, CA - Buena Vista",October 2012,$348K,-21.9%,,1,0%,,2,,,1,,,8,-104,,74.7%,-23.1%,
"San Jose, CA - Buena Vista",November 2012,$348K,0%,-29.8%,1,0%,0%,2,0%,,1,0%,,8,0,-81,74.7%,0%,-25.3%
"San Jose, CA - Buena Vista",December 2012,$348K,0%,-29.8%,1,0%,0%,2,0%,,1,0%,,8,0,-81,74.7%,0%,-25.3%
"San Jose, CA - Buena Vista",May 2013,$700K,,,1,,,2,,,2,,,143,,,100%,,
"San Jose, CA - Buena Vista",June 2013,$700K,0%,70.7%,1,0%,0%,2,0%,100%,1,-50%,,143,0,124,100%,0%,-20.6%
"San Jose, CA - Buena Vista",July 2013,$700K,0%,63.7%,1,0%,-50%,1,-50%,,1,0%,,143,0,78,100%,0%,-9.2%
"San Jose, CA - Buena Vista",October 2013,$400K,,15.1%,1,,0%,,,,,,,132,,124,76.2%,,1.5%
"San Jose, CA - Buena Vista",November 2013,$400K,0%,15.1%,1,0%,0%,,,,,,,132,0,124,76.2%,0%,1.5%
"San Jose, CA - Buena Vista",December 2013,$400K,0%,15.1%,1,0%,0%,,,,,,,132,0,124,76.2%,0%,1.5%
"San Jose, CA - Buena Vista",February 2015,$900K,,,1,,,1,,,1,,,16,,,112.5%,,
"San Jose, CA - Buena Vista",March 2015,$900K,0%,,1,0%,,1,0%,,,,,16,0,,112.5%,0%,
"San Jose, CA - Buena Vista",April 2015,$900K,0%,,1,0%,,,,,,,,16,0,,112.5%,0%,
"San Jose, CA - Buena Vista",December 2015,"$1,350K",,,1,,,,,,,,,206,,,100%,,
"San Jose, CA - Buena Vista",January 2016,"$1,350K",0%,,1,0%,,,,,,,,206,0,,100%,0%,
"San Jose, CA - Buena Vista",February 2016,"$1,350K",0%,50%,1,0%,0%,,,,,,,206,0,190,100%,0%,-12.5%
"San Jose, CA - Calabazas North",August 2012,$923K,,,1,,,1,,,,,,16,,,102.6%,,
"San Jose, CA - Calabazas North",September 2012,$923K,0%,,1,0%,,1,0%,,,,,16,0,,102.6%,0%,
"San Jose, CA - Calabazas North",October 2012,$923K,0%,,1,0%,,,,,,,,16,0,,102.6%,0%,
"San Jose, CA - Calabazas North",September 2014,"$1,647K",,,1,,,2,,,,,,18,,,103%,,
"San Jose, CA - Calabazas North",October 2014,"$1,647K",0%,,1,0%,,2,0%,,,,,18,0,,103%,0%,
"San Jose, CA - Calabazas North",November 2014,"$2,272K",37.9%,,3,200%,,3,50%,,1,,,18,0,,103.5%,0.5%,
"San Jose, CA - Calabazas North",December 2014,"$2,272K",0%,,3,0%,,2,-33.3%,,,,,19,1,,109.5%,6%,
"San Jose, CA - Calabazas North",January 2015,"$2,272K",0%,,3,0%,,1,-50%,,,,,19,0,,109.5%,0%,
"San Jose, CA - Calabazas North",February 2015,"$1,815K",-20.1%,,1,-66.7%,,,,,,,,21,2,,121%,11.5%,
"San Jose, CA - Calabazas North",April 2015,"$1,752K",,,1,,,1,,,,,,15,,,125.1%,,
"San Jose, CA - Calabazas North",May 2015,"$1,752K",0%,,2,100%,,1,0%,,,,,15,0,,125.1%,0%,
"San Jose, CA - Calabazas North",June 2015,"$1,752K",0%,,2,0%,,,,,,,,15,0,,125.1%,0%,
"San Jose, CA - Calabazas North",July 2015,"$1,752K",0%,,1,-50%,,,,,,,,,,,,,
